RELEASEDATA;CDU/CSU;SPD;GRUENE;FDP;LINKE;AFD;OTHER;TN;STDAY;ENDDAY
22.09.17;36;22;8;10.5;9.5;10;4;1074;13.09.;20.09.
19.09.17;36.5;22;8;11;9;10;3.5;1083;06.09.;14.09.
06.09.17;38.5;24;7.5;10;8;8;4;1043;22.08.;31.08.
22.08.17;39.5;24;7.5;10;8;7;4;1421;04.08.;17.08.
18.07.17;39.5;25;7;9;9;7;3.5;1403;01.07.;12.07.
20.06.17;40;24;7;10.5;8.5;6.5;3.5;1437;01.06.;15.06.
26.05.17;37;26;8;9;8;8;4;1457;05.05.;19.05.
25.04.17;36;31;7;6;9;7;4;1407;01.04.;13.04.
28.03.17;34;33;7.5;6.5;8;7;4;1397;06.03.;19.03.
22.02.17;33;30.5;8;7;8;8.5;5;1542;01.02.;15.02.
26.01.17;36;23;9;7;9.5;11.5;4;1441;05.01.;19.01.
22.12.16;35.5;22;10;7.5;9.5;10.5;5;1459;01.12.;15.12.
16.11.16;34;23;11;7.5;9;10.5;5;1436;28.10.;10.11.
20.10.16;33;22;12;7.5;9;12.5;4;1458;01.10.;13.10.
22.09.16;33.5;24;11;7;7;12.5;5;1407;03.09.;15.09.
24.08.16;34.5;23;11.5;7.5;9;10;4.5;1496;03.08.;17.08.
21.07.16;35.5;22.5;12;7;9.5;9.5;4;1466;01.07.;14.07.
15.06.16;33.5;21;12;8;9;11.5;5;1396;27.05.;09.06.
17.05.16;33.5;21;11.5;8;9;12.5;4.5;1474;28.04.;12.05.
20.04.16;33.5;23;11;8;9;10.5;5;1388;01.04.;14.04.
18.03.16;35;24.5;10;7;9;10.5;4;1456;26.02.;10.03.
17.02.16;33.5;24;10;7;10;10.5;5;1521;01.02.;11.02.
26.01.16;35;25;9;6.5;9.5;10;5;1431;07.01.;21.01.
16.12.15;38;26;9.5;5;8.5;8;5;1457;28.11.;10.12.
19.11.15;37.5;26;9.5;5.5;9.5;7;5;1448;01.11.;11.11.
20.10.15;38;26;9.5;5.5;9;7;5;1400;03.10.;16.10.
16.09.15;42;25.5;9.5;6;8.5;3.5;5;1400;01.09.;12.09.
19.08.15;41.5;26;9.5;5.5;9;3.5;5;1400;01.08.;14.08.
16.07.15;40.5;25.5;10;5.5;9.5;4;5;1200;01.07.;13.07.
18.06.15;41.5;26;10;5;8.5;4;5;1400;01.06.;14.06.
21.05.15;41.5;25.5;9.5;5;9;5;4.5;1450;02.05.;08.05.
16.04.15;40.5;26.5;9.5;5;8.5;6;4;1430;28.03.;10.04.
19.03.15;41.5;26;9.5;5;8;6;4;1500;01.03.;12.03.
19.02.15;41;25.5;9.5;5;9;6;4;1400;01.02.;12.02.
28.01.15;41.5;25;10.5;4;8.5;6;4.5;1455;09.01.;23.01.
17.12.14;40.5;26;9.5;3.5;8.5;7;5;1505;01.12.;12.12.
19.11.14;40.5;27;9.5;3.5;8;6.5;5;NA;01.11.;13.11.
21.10.14;39.5;26;10.5;3;8.5;7.5;5;NA;04.10.;16.10.
17.09.14;41;25.5;10;4;8.5;6.5;4.5;NA;01.09.;11.09.
20.08.14;41;26.5;10;3;8;6.5;5;NA;21.07.;05.08.
16.07.14;40.5;25;11;3.5;8.5;6;5.5;NA;28.06.;11.07.
20.06.14;40;26;10;4;8;6;6;NA;28.05.;13.06.
14.05.14;39.5;26;10.5;5;8;5.5;5.5;NA;25.04.;09.05.
16.04.14;40;26.5;11;4.5;8;5;5;1571;28.03.;10.04.
19.03.14;40.5;25;10;5;9;5;5.5;NA;01.03.;13.03.
20.02.14;40;26.5;10.5;4;9;5;5;NA;01.02.;13.02.
29.01.14;40;26;10;5;8.5;5;5.5;NA;10.01.;23.01.
19.12.13;41.5;25.5;10.5;4;9;4.5;5;NA;01.12.;12.12.
27.11.13;40;26.5;10;4;9.5;5;5;NA;08.11.;21.11.
23.10.13;41;25;9;5;9;5.5;5.5;NA;01.10.;16.10.
