RELEASEDAY;CDU/CSU;SPD;GRUENE;FDP;LINKE;AFD;OTHER;NW;TN;STDAY;ENDDAY
22.09.17;36;22;7;9.5;9.5;11;5;NA;2006;18.09.20;21.09.20
19.09.17;36;23;8;9;10;9;5;NA;2501;11.09.20;15.09.20
13.09.17;37;23;8;8;10;9;5;26;2505;04.09.20;08.09.20
08.09.17;37;23;8;9;10;9;4;NA;2001;04.09.20;07.09.20
06.09.17;38;23;8;8;9;9;5;28;2503;28.08.20;01.09.20
30.08.17;38;24;7;8;9;9;5;26;2501;21.08.20;25.08.20
23.08.17;38;24;7;8;9;9;5;24;2501;14.08.20;18.08.20
16.08.17;39;23;8;8;9;8;5;26;2507;07.08.20;11.08.20
09.08.17;40;23;8;7;8;8;6;24;2503;31.07.20;04.08.20
02.08.17;40;22;8;8;8;8;6;23;2501;24.07.20;28.07.20
26.07.17;40;22;8;8;9;7;6;23;2507;17.07.20;21.07.20
19.07.17;40;22;8;8;9;7;6;23;2502;10.07.20;14.07.20
11.07.17;39;22;8;8;9;8;6;22;2501;03.07.20;07.07.20
05.07.17;39;23;8;8;9;7;6;21;2503;26.06.20;30.06.20
29.06.17;40;23;9;8;9;7;4;NA;1507;26.06.20;28.06.20
28.06.17;40;23;9;7;9;7;5;22;2502;19.06.20;23.06.20
21.06.17;39;23;8;8;10;7;5;23;2505;12.06.20;16.06.20
13.06.17;38;24;8;9;8;7;6;21;2004;06.06.20;09.06.20
07.06.17;39;24;8;8;8;7;6;20;2501;29.05.20;02.06.20
31.05.17;38;25;7;9;8;7;6;20;2001;22.05.20;26.05.20
23.05.17;39;25;7;9;8;7;5;22;2502;15.05.20;19.05.20
17.05.17;38;26;7;8;8;7;6;24;2506;08.05.20;12.05.20
10.05.17;36;29;7;7;8;7;6;23;2004;02.05.20;05.05.20
03.05.17;36;28;8;7;8;8;5;23;2502;24.04.20;28.04.20
26.04.17;36;30;7;6;8;9;4;24;2002;18.04.20;21.04.20
19.04.17;36;30;6;6;9;8;5;25;2007;10.04.20;13.04.20
11.04.17;36;30;7;6;8;8;5;23;2502;03.04.20;07.04.20
04.04.17;36;29;7;5;9;8;6;24;2504;27.03.20;31.03.20
29.03.17;34;32;7;6;8;7;6;23;2501;20.03.20;24.03.20
22.03.17;34;31;7;6;7;9;6;23;2504;13.03.20;17.03.20
15.03.17;33;32;7;6;7;9;6;24;2505;06.03.20;10.03.20
08.03.17;33;32;8;6;7;8;6;23;2502;27.02.20;03.03.20
01.03.17;33;31;8;7;7;9;5;23;2500;20.02.20;24.02.20
22.02.17;34;31;7;6;8;8;6;23;2502;13.02.20;17.02.20
15.02.17;34;31;7;5;8;9;6;24;2502;05.02.20;10.02.20
08.02.17;34;31;8;5;8;10;4;24;2501;30.01.20;03.02.20
01.02.17;35;26;8;6;9;11;5;24;2502;23.01.20;27.01.20
25.01.17;37;21;10;6;9;12;5;26;2504;16.01.20;20.01.20
18.01.17;38;21;9;6;9;11;6;26;2503;09.01.20;13.01.20
11.01.17;37;20;10;6;9;12;6;27;2501;02.01.20;06.01.20
04.01.17;37;21;10;6;9;12;5;30;2001;27.12.20;30.12.20
28.12.16;38;20;10;5;9;12;6;27;2504;19.12.20;23.12.20
20.12.16;36;22;10;6;9;11;6;26;2502;12.12.20;16.12.20
14.12.16;37;21;10;6;9;11;6;26;2506;05.12.20;09.12.20
07.12.16;36;22;11;6;10;10;5;25;2501;28.11.20;02.12.20
30.11.16;37;22;10;5;9;11;6;26;2503;21.11.20;25.11.20
23.11.16;36;23;10;5;10;10;6;25;2505;14.11.20;18.11.20
16.11.16;35;23;11;6;10;10;5;26;2503;07.11.20;11.11.20
09.11.16;34;23;11;6;10;11;5;26;2503;31.10.20;04.11.20
02.11.16;34;22;11;7;10;11;5;26;2503;24.10.20;28.10.20
26.10.16;35;22;11;6;9;12;5;29;2504;17.10.20;21.10.20
19.10.16;34;22;11;6;9;12;6;31;2505;10.10.20;14.10.20
12.10.16;34;22;11;6;10;12;5;28;2004;04.10.20;07.10.20
