RELEASEDATA;CDU/CSU;SPD;GRUENE;FDP;LINKE;AFD;OTHER;TN;STDAY;ENDDAY
14.09.17;37;20;7.5;9.5;9;12;5;1503;12.09.20;13.09.20
07.09.17;37;21;8;9;10;11;4;1503;04.09.20;06.09.20
31.08.17;37;23;8;8;9;11;4;1411;28.08.20;30.08.20
24.08.17;38;22;8;9;9;10;4;1035;22.08.20;23.08.20
09.08.17;39;24;8;8;9;8;4;1505;04.08.20;08.08.20
27.07.17;40;23;8;8;8;9;4;1004;25.07.20;26.07.20
06.07.17;39;23;8;9;9;9;3;1500;03.07.20;05.07.20
15.06.17;39;24;7;9;8;8;5;1018;12.06.20;13.06.20
08.06.17;38;24;7;10;8;9;4;1503;06.06.20;07.06.20
18.05.17;38;26;8;9;6;9;4;1017;16.05.20;17.05.20
11.05.17;37;27;8;8;7;10;3;1500;08.05.20;10.05.20
20.04.17;35;30;7;6;8;10;4;934;18.04.20;19.04.20
13.04.17;34;31;8;6;7;11;3;1502;10.04.20;12.04.20
23.03.17;32;32;8;6;7;11;4;1023;20.03.20;22.03.20
09.03.17;32;31;8;6;8;11;4;1502;06.03.20;08.03.20
23.02.17;31;32;8;6;7;11;5;1047;20.02.20;22.02.20
02.02.17;34;28;8;6;8;12;4;1506;30.01.20;01.02.20
27.01.17;35;23;9;6;8;14;5;1029;24.01.20;25.01.20
05.01.17;37;20;9;5;9;15;5;1505;02.01.20;04.01.20
16.12.16;36;21;10;6;9;13;5;1005;12.12.20;14.12.20
08.12.16;35;22;11;5;9;13;5;1504;05.12.20;07.12.20
18.11.16;32;23;13;6;9;12;5;1014;14.11.20;16.11.20
03.11.16;33;22;12;6;9;13;5;1505;31.10.20;02.11.20
20.10.16;33;22;12;5;9;14;5;1018;18.10.20;19.10.20
06.10.16;33;22;11;6;9;14;5;1503;04.10.20;05.10.20
23.09.16;32;22;12;6;8;16;4;1018;19.09.20;21.09.20
01.09.16;33;23;11;5;9;14;5;1504;29.08.20;31.08.20
26.08.16;33;22;12;5;9;13;6;1008;23.08.20;24.08.20
04.08.16;34;22;13;5;9;12;5;1503;01.08.20;03.08.20
15.07.16;33;22;14;6;8;12;5;1037;12.07.20;13.07.20
07.07.16;34;22;13;6;9;12;4;1504;04.07.20;06.07.20
17.06.16;31;21;14;7;9;14;4;1000;13.06.20;15.06.20
02.06.16;32;21;13;6;9;15;4;1506;30.05.20;01.06.20
20.05.16;32;21;12;7;9;15;4;1015;17.05.20;18.05.20
04.05.16;33;20;13;6;8;15;5;1503;02.05.20;03.05.20
22.04.16;33;21;12;7;8;14;5;1011;18.04.20;20.04.20
07.04.16;34;21;13;7;7;14;4;1505;04.04.20;06.04.20
24.03.16;34;22;12;7;8;13;4;1000;21.03.20;22.03.20
29.02.16;36;23;10;6;9;11;5;1505;26.02.20;27.02.20
26.02.16;37;23;11;6;8;10;5;1028;23.02.20;24.02.20
03.02.16;35;24;10;5;9;12;5;1504;01.02.20;02.02.20
15.01.16;37;25;10;4;8;10;6;1027;12.01.20;13.01.20
07.01.16;39;24;11;4;8;9;5;1504;05.01.20;07.01.20
18.12.15;38;24;10;4;8;10;6;1021;14.12.20;16.12.20
03.12.15;37;25;11;4;8;10;5;1503;30.11.20;01.12.20
20.11.15;37;25;10;5;8;9;6;1851;16.11.20;19.11.20
05.11.15;37;24;11;5;9;8;6;1503;02.11.20;04.11.20
23.10.15;38;24;11;5;9;8;5;1000;19.10.20;21.10.20
01.10.15;40;24;10;5;9;6;6;1501;28.09.20;30.09.20
11.09.15;42;25;11;4;9;4;5;1021;07.09.20;09.09.20
03.09.15;42;24;12;4;8;4;6;1501;31.08.20;02.09.20
14.08.15;42;24;11;4;9;4;6;1033;11.08.20;12.08.20
30.07.15;42;24;11;5;9;4;5;1504;27.07.20;29.07.20
17.07.15;41;24;11;6;9;4;5;1029;14.07.20;15.07.20
02.07.15;40;25;11;5;10;5;4;1501;29.06.20;01.07.20
19.06.15;40;25;10;5;10;5;5;1001;15.06.20;17.06.20
03.06.15;40;25;10;6;9;5;5;1503;01.06.20;02.06.20
21.05.15;41;26;9;5;9;5;5;1011;18.05.20;20.05.20
07.05.15;40;25;10;4;9;6;6;1506;04.05.20;06.05.20
24.04.15;41;24;11;4;8;6;6;1002;20.04.20;22.04.20
02.04.15;41;25;10;4;9;6;5;1501;30.03.20;01.04.20
13.03.15;41;24;11;4;9;6;5;1000;10.03.20;11.03.20
05.03.15;41;25;10;4;9;6;5;1506;02.03.20;04.03.20
13.02.15;42;24;10;3;8;7;6;1023;10.02.20;11.02.20
05.02.15;41;25;10;3;9;6;6;1503;02.02.20;04.02.20
16.01.15;41;25;10;4;8;6;6;1017;12.01.20;14.01.20
08.01.15;41;26;10;3;8;6;6;1506;05.01.20;07.01.20
19.12.14;42;25;10;8;6;9;1006;15.12.20;17.12.20;
04.12.14;40;26;11;2;9;7;5;1502;01.12.20;03.12.20
21.11.14;41;26;11;3;8;6;5;1023;17.11.20;19.11.20
06.11.14;41;25;10;3;9;7;5;1504;03.11.20;05.11.20
24.10.14;40;26;10;2;9;7;6;1022;20.10.20;22.10.20
02.10.14;41;24;9;2;10;9;5;1502;29.09.20;01.10.20
26.09.14;39;25;10;3;10;8;5;1008;22.09.20;24.09.20
04.09.14;40;24;10;3;10;7;6;1503;01.09.20;03.09.20
29.08.14;42;25;9;3;9;5;7;1027;26.08.20;27.08.20
07.08.14;41;26;10;3;9;5;6;1503;04.08.20;06.08.20
18.07.14;40;26;10;4;10;4;6;1008;15.07.20;16.07.20
03.07.14;39;26;11;4;9;5;6;1505;30.06.20;02.07.20
20.06.14;39;25;12;4;8;6;6;1000;17.06.20;18.06.20
05.06.14;38;26;11;4;9;7;5;1504;02.06.20;04.06.20
16.05.14;39;26;11;4;9;6;5;1500;12.05.20;14.05.20
30.04.14;40;26;10;4;9;5;6;1600;28.04.20;29.04.20
25.04.14;41;25;10;4;10;5;5;1008;22.04.20;23.04.20
03.04.14;41;26;10;4;9;5;5;1506;31.03.20;02.04.20
28.03.14;41;25;10;4;8;5;7;1000;25.03.20;26.03.20
06.03.14;42;24;11;4;9;4;6;1515;04.03.20;05.03.20
28.02.14;40;26;10;4;9;5;6;1026;24.02.20;26.02.20
06.02.14;41;27;9;4;9;5;5;1536;03.02.20;05.02.20
31.01.14;42;27;9;4;8;4;6;1014;27.01.20;29.01.20
09.01.14;41;27;9;4;8;4;7;1559;06.01.20;08.01.20
20.12.13;42;27;9;4;8;4;6;1000;17.12.20;18.12.20
05.12.13;43;25;10;3;9;4;6;1523;02.12.20;04.12.20
22.11.13;42;25;10;3;9;4;7;1006;19.11.20;20.11.20
